detection_id,B,G,R,nB,nG,nR,Compactness
53598234,12.7855,12.8356,14.2789,0.0507,0.0507,0.0613,0.11634512054520679
53598236,19.4485,19.5198,20.5148,0.0772,0.0772,0.0886,0.10832258979485408
53598238,19.5645,19.5896,20.5043,0.0775,0.0775,0.0888,0.10926437976474195
53598240,19.4969,19.5328,20.3889,0.0773,0.0773,0.0886,0.10926437976474195
53598241,19.3024,19.3026,20.2613,0.0765,0.0765,0.0877,0.11022268844923072
53598242,19.2417,19.3031,20.3378,0.0763,0.0763,0.0875,0.11022268844923072
53598244,19.4298,19.5495,20.6296,0.077,0.077,0.0883,0.10926437976474195
53598245,19.421,19.5313,20.6691,0.0769,0.0769,0.0882,0.10926437976474195
53598246,19.5542,19.6874,20.8608,0.0775,0.0775,0.0887,0.11022268844923072
53598247,19.5416,19.6627,20.8489,0.0774,0.0774,0.0886,0.11022268844923072
53598248,19.5062,19.6061,20.7445,0.0772,0.0772,0.0884,0.11022268844923072
53598249,19.4265,19.4758,20.5828,0.0768,0.0768,0.088,0.11022268844923072
53598250,19.3332,19.4012,20.5588,0.0766,0.0766,0.0878,0.11022268844923072
53598251,19.1674,19.2366,20.4443,0.0759,0.0759,0.0873,0.10832258979485408
53598252,18.9977,19.1008,20.1934,0.0752,0.0752,0.0865,0.10926437976474195
53598253,18.8368,18.9418,20.0686,0.0747,0.0747,0.0861,0.10832258979485408
53598254,18.8718,18.9627,20.0909,0.0748,0.0748,0.0861,0.10926437976474195
53598255,13.328,12.941,15.1424,0.6258,0.6045,0.5829,0.11119795425652645
53598257,18.6163,18.6958,19.7371,0.0738,0.0738,0.0851,0.10926437976474195
53598261,19.1072,19.0951,20.0821,0.0757,0.0755,0.0869,0.10832258979485408
53598262,12.812,12.4239,14.7281,0.5012,0.483,0.4716,0.10832258979485408
53598263,14.5292,14.0662,15.8188,0.6952,0.675,0.6393,0.10739689511380088
53598269,17.7943,17.8602,19.2867,0.0704,0.0704,0.081,0.11634512054520679
53598270,17.6136,17.69,19.0318,0.0697,0.0697,0.0802,0.11743226366213184
53598273,13.1001,13.1599,14.2925,0.0519,0.0519,0.0604,0.14442151192814084
53598290,15.3837,15.1026,16.2919,0.0716,0.0696,0.0773,0.11634512054520679
53598291,16.8097,16.8325,17.5133,0.0694,0.0692,0.0791,0.11634512054520679
53598298,16.5994,16.563,17.6794,0.0657,0.0657,0.0761,0.11853991327830876
53598299,16.5741,16.5367,17.7052,0.0655,0.0655,0.0759,0.11853991327830876
53598301,16.4841,16.5231,17.6171,0.0653,0.0653,0.0756,0.11966865507387159
53598302,16.4753,16.5339,17.699,0.0652,0.0652,0.0755,0.11966865507387159
53598307,16.252,16.3188,17.5669,0.0643,0.0643,0.0746,0.11966865507387159
53598345,14.8301,14.9016,16.0746,0.0587,0.0587,0.0686,0.12440706908215582
53598346,14.8364,14.9016,16.0693,0.0587,0.0587,0.0686,0.12440706908215582
53598367,13.6923,13.6817,14.6457,0.0591,0.0583,0.0662,0.12821464331793822
53598369,13.7536,13.7287,14.6561,0.0546,0.0546,0.0642,0.12691981982432735
53598371,13.4617,13.4712,14.5121,0.0534,0.0534,0.0629,0.12953615542145414
53598373,12.3038,11.9077,12.7982,0.1063,0.0989,0.0961,0.12953615542145414
53598374,13.3784,13.3715,14.3101,0.0533,0.0533,0.0628,0.12953615542145414
53598375,12.0538,11.5896,12.4768,0.1338,0.1254,0.1157,0.12953615542145414
53598379,10.448,10.2054,11.7376,0.3972,0.3908,0.3629,0.13088518977836702
53598380,13.3222,13.3185,14.3362,0.0528,0.0528,0.0621,0.13226261511265314
53598382,10.7552,10.4138,11.4889,0.4185,0.4012,0.3604,0.13226261511265314
53598383,11.893,11.2237,12.2802,0.3388,0.3017,0.2709,0.13226261511265314
53598384,13.3065,13.3037,14.3745,0.0527,0.0527,0.062,0.13226261511265314
53598386,11.0573,10.6675,11.6403,0.5728,0.5525,0.488,0.12953615542145414
53598387,11.403,10.7101,11.7217,0.4009,0.3625,0.3231,0.12953615542145414
53598388,12.8602,12.842,13.8729,0.0526,0.0526,0.061,0.1351063003197879
53598390,11.5336,11.22,11.7816,0.2686,0.2613,0.2303,0.13657449043501094
53598392,11.4832,11.1743,12.1966,0.1487,0.1406,0.1309,0.1351063003197879
53598394,10.9104,10.5599,11.5256,0.2529,0.2419,0.2098,0.1351063003197879
53598396,11.9021,11.7964,12.7412,0.1141,0.1094,0.1049,0.13657449043501094
53598397,11.2326,11.032,11.7388,0.3675,0.3476,0.292,0.13657449043501094
53598398,11.6014,11.5978,12.7619,0.0458,0.0458,0.0544,0.1427807996875266
53598408,18.8125,18.8013,19.7967,0.0769,0.0754,0.0866,0.10648688664370398
53598410,8.7888,8.8879,10.4595,0.035,0.035,0.0449,0.12440706908215582
53598413,2.6542,3.0331,5.4621,0.1261,0.1455,0.1718,0.1495779344429456
53598417,8.2157,8.2322,10.1673,0.0324,0.0324,0.0425,0.12199187159268324
53598420,5.4703,5.4847,6.4486,0.0216,0.0216,0.0271,0.22039234176969208
53598421,4.1747,4.1804,5.7859,0.0165,0.0165,0.0242,0.15904183716398032
53598423,26.7405,26.8437,28.3461,0.1058,0.1058,0.1218,0.07756719641593564
53598427,25.9654,26.0723,28.0401,0.1028,0.1028,0.1208,0.06904388481989716
53598429,4.7549,4.7713,7.4827,0.0188,0.0188,0.0309,0.1021587506273488
53598437,10.1063,10.0565,11.3672,0.0407,0.0406,0.051,0.11743226366213184
53598440,16.3518,16.3452,17.3913,0.0645,0.0645,0.0747,0.12081909724428652
53598443,4.8711,4.875,5.9053,0.0192,0.0192,0.0248,0.21659487670178934
53598444,5.9856,5.9861,7.036,0.0236,0.0236,0.0295,0.2059488517353309
53598451,12.6315,12.6775,14.4241,0.0499,0.0499,0.0604,0.11743226366213184
53598452,2.4639,2.6423,4.4652,0.1576,0.1707,0.1681,0.14781870195462177
53598454,2.4888,2.7869,3.9424,0.1399,0.157,0.1328,0.18208192715442573
53598459,11.0318,11.053,11.9971,0.0436,0.0436,0.0513,0.15904183716398032
53598461,7.5799,7.6222,8.7907,0.03,0.03,0.037,0.17449830252036147
53598465,6.9465,6.6198,9.3035,0.0377,0.0353,0.0455,0.1132011898318306
53598466,6.7156,6.7572,7.8596,0.0266,0.0266,0.033,0.1903544897796419
53598467,5.3886,5.0451,6.506,0.1076,0.0997,0.0996,0.17695501477362918
53598469,13.8733,13.0446,14.4398,0.2694,0.2487,0.2335,0.11634512054520679
53598470,17.234,17.3152,18.8688,0.0682,0.0682,0.0793,0.11119795425652645
53598471,8.7616,8.2523,9.5383,0.0699,0.0633,0.0641,0.13657449043501094
53598473,8.671,8.7261,9.8058,0.0343,0.0343,0.0412,0.17695501477362918
53598476,38.8716,38.9015,39.1864,0.1536,0.1536,0.1681,0.08548150399146558
53598477,34.6591,33.0398,33.469,0.7826,0.7442,0.7019,0.08106994029334431
53598478,10.8607,10.9185,12.3025,0.043,0.043,0.0518,0.1396087127968195
53598481,11.8612,11.0998,12.1315,0.0989,0.0927,0.0932,0.12440706908215582
53598485,5.0399,4.9567,6.0757,0.0314,0.03,0.0351,0.19941430995731257
53598487,3.4163,3.2323,4.1425,0.0303,0.0283,0.0299,0.22039234176969208
53598488,4.8708,4.7895,6.0002,0.2365,0.2314,0.2163,0.18751471302418415
53598489,6.9862,6.9725,8.1233,0.0285,0.0283,0.0348,0.1794818739290955
53598492,5.4803,5.2166,6.5428,0.0379,0.035,0.0326,0.1653175867489029
53598497,5.2154,4.9566,6.7653,0.0612,0.0572,0.0618,0.15322506464696445
53598498,5.7019,5.7155,6.9887,0.0226,0.0226,0.0303,0.15904183716398032
53598500,38.3469,38.1005,38.8078,0.1954,0.1938,0.2096,0.05844695914181379
53598502,20.1642,20.1828,20.8474,0.0798,0.0798,0.0911,0.10926437976474195
53598503,5.529,5.153,8.3114,0.0734,0.0682,0.0805,0.09665858053229819
53598504,12.9786,12.9751,13.9632,0.0513,0.0513,0.0604,0.1351063003197879
53598505,4.8006,4.4731,6.6384,0.1684,0.1551,0.1587,0.1351063003197879
53598506,12.806,12.8232,13.8053,0.0507,0.0507,0.0597,0.13657449043501094
53598507,4.318,4.0057,6.1573,0.0546,0.0512,0.058,0.13657449043501094
53598508,12.7486,12.7747,13.7801,0.0504,0.0504,0.0594,0.13657449043501094
53598509,12.7658,12.7777,13.8228,0.0504,0.0504,0.0594,0.13657449043501094
53598511,12.4979,12.4891,13.639,0.0493,0.0493,0.0585,0.1336693370934263
53598512,12.306,12.3112,13.3811,0.0486,0.0486,0.0576,0.13657449043501094
53598513,12.2669,12.2594,13.3592,0.0484,0.0484,0.0575,0.1351063003197879
53598514,12.054,12.0562,13.163,0.0476,0.0476,0.0566,0.13657449043501094
53598515,12.0032,12.0191,13.1651,0.0474,0.0474,0.0564,0.13657449043501094
53598516,12.0202,12.0275,13.26,0.0474,0.0474,0.0564,0.13657449043501094
53598517,12.0239,12.0268,13.2755,0.0474,0.0474,0.0564,0.13657449043501094
53598521,11.5384,11.6027,12.7668,0.0457,0.0457,0.0543,0.1427807996875266
53598524,11.4351,11.5038,12.6956,0.0453,0.0453,0.0539,0.1427807996875266
53598525,11.4068,11.4789,12.6673,0.0452,0.0452,0.0538,0.1427807996875266
53598533,5.5466,5.3502,7.4803,0.0327,0.0306,0.0386,0.14442151192814084
53598534,11.0974,11.1096,12.227,0.0438,0.0438,0.0522,0.14610036423614817
53598541,7.5358,7.1856,8.1286,0.0705,0.0654,0.055,0.14610036423614817
53598542,10.8695,10.8707,12.0348,0.0429,0.0429,0.0512,0.14781870195462177
53598543,10.8665,10.8867,12.017,0.0429,0.0429,0.0512,0.14781870195462177
53598544,10.8236,10.8165,11.9956,0.0427,0.0427,0.051,0.14781870195462177
53598545,10.5963,10.6296,11.6096,0.042,0.042,0.0504,0.14610036423614817
53598546,6.6814,6.7648,8.169,0.1131,0.1119,0.1093,0.14610036423614817
53598547,10.5905,10.5928,11.3785,0.042,0.042,0.0504,0.14610036423614817
53598581,10.3831,10.4088,11.6307,0.0411,0.0411,0.0499,0.1396087127968195
53598583,9.6942,9.6982,11.0012,0.0383,0.0383,0.0466,0.14781870195462177
53598584,9.5376,9.5558,10.8309,0.0377,0.0377,0.0459,0.1495779344429456
53598585,9.5489,9.566,10.8639,0.0377,0.0377,0.0459,0.1495779344429456
53598586,9.5415,9.573,10.8648,0.0377,0.0377,0.0459,0.1495779344429456
53598591,9.1078,9.1279,10.0225,0.0361,0.0361,0.0439,0.15705446369492315
53598596,7.4833,7.3459,8.0095,0.2844,0.2815,0.2376,0.15705446369492315
53598597,8.9431,8.9685,9.8977,0.0354,0.0354,0.0431,0.15904183716398032
53598598,7.6682,7.5364,8.126,0.1777,0.1717,0.1466,0.15904183716398032
53598600,7.8333,7.7153,8.3751,0.1152,0.1118,0.1004,0.15904183716398032
53598601,8.8522,8.8938,9.793,0.0351,0.0351,0.0428,0.15904183716398032
53598604,8.7806,8.8096,9.6682,0.0348,0.0348,0.0425,0.15904183716398032
53598605,8.8013,8.8058,9.653,0.0348,0.0348,0.0425,0.15904183716398032
53598606,8.7822,8.7959,9.6599,0.0348,0.0348,0.0425,0.15904183716398032
53598607,8.6855,8.6883,9.5554,0.0351,0.035,0.0425,0.15904183716398032
53598608,8.636,8.6035,9.3674,0.0354,0.0352,0.0425,0.15904183716398032
53598609,8.6632,8.6354,9.3402,0.0349,0.0349,0.0425,0.15904183716398032
53598610,8.6792,8.6655,9.387,0.0348,0.0348,0.0425,0.15904183716398032
53598612,8.9394,8.9457,9.7606,0.0356,0.0356,0.0433,0.15904183716398032
53598613,8.7974,8.8158,9.6312,0.0349,0.0349,0.0425,0.16108014280507627
53598617,8.4254,8.4247,9.5115,0.0333,0.0333,0.0406,0.16752101074657041
53598618,8.5398,8.5423,9.5321,0.0338,0.0338,0.0413,0.16317136358672749
53598619,8.5132,8.515,9.4784,0.0337,0.0337,0.0411,0.1653175867489029
53598621,8.5239,8.5272,9.617,0.0337,0.0337,0.0411,0.1653175867489029
53598622,8.5225,8.5214,9.5876,0.0337,0.0337,0.0411,0.1653175867489029
53598623,8.4898,8.4924,9.6111,0.0335,0.0335,0.0409,0.1653175867489029
53598624,8.491,8.4918,9.6137,0.0335,0.0335,0.0409,0.1653175867489029
53598625,8.4444,8.4983,9.2531,0.0335,0.0335,0.0409,0.1653175867489029
53598627,8.3405,8.3664,9.207,0.0331,0.0331,0.0403,0.16978395275546265
53598628,8.343,8.3674,9.2622,0.0331,0.0331,0.0403,0.16978395275546265
53598629,8.3654,8.3768,9.3353,0.0331,0.0331,0.0403,0.16978395275546265
53598630,8.2752,8.2949,9.2624,0.0328,0.0328,0.0401,0.16752101074657041
53598632,8.167,8.21,9.1585,0.0324,0.0324,0.0397,0.16752101074657041
53598633,8.1671,8.2086,9.1665,0.0324,0.0324,0.0397,0.16752101074657041
53598634,8.1488,8.2093,9.1269,0.0324,0.0324,0.0397,0.16752101074657041
53598635,8.1378,8.1967,9.067,0.0324,0.0324,0.0397,0.16752101074657041
53598640,8.0711,8.1146,8.8432,0.032,0.032,0.0393,0.16752101074657041
53598641,8.0491,8.0572,8.8839,0.0318,0.0318,0.0391,0.16752101074657041
53598642,7.7918,7.8052,8.7225,0.0308,0.0308,0.0381,0.16752101074657041
53598643,7.8097,7.7996,8.7216,0.0308,0.0308,0.0381,0.16752101074657041
53598644,7.6846,7.6643,8.6644,0.0354,0.035,0.0412,0.16752101074657041
53598655,7.2486,7.2539,8.4141,0.0286,0.0286,0.0357,0.1721088567938853
53598656,3.9638,3.9692,5.4769,0.0354,0.0335,0.0378,0.1721088567938853
53598657,7.171,7.2106,8.4063,0.0284,0.0284,0.0355,0.1721088567938853
53598658,3.0542,3.0906,4.8948,0.0925,0.0991,0.1097,0.1721088567938853
53598659,9.1702,9.2055,10.4972,0.0363,0.0363,0.0446,0.14781870195462177
53598662,1.7604,1.7911,3.6036,0.0234,0.0232,0.0309,0.17449830252036147
53598663,1.4542,1.8265,3.8465,0.0294,0.0359,0.0537,0.17449830252036147
53598664,6.6798,6.7214,7.9015,0.0264,0.0264,0.0332,0.1794818739290955
53598665,1.183,1.3696,3.168,0.0127,0.0142,0.0229,0.18475840065665078
53598666,5.994,6.036,7.1166,0.0237,0.0237,0.0299,0.1963000700655754
