detection_id,B,G,R,nB,nG,nR,Compactness
428093495,7.767,13.3963,21.1914,0.1368,0.2712,0.3471,0.05844695914181379
428093496,8.3417,14.1726,22.2072,0.1585,0.2962,0.3723,0.05660411406725943
428093497,7.3244,10.3798,19.9289,0.1529,0.224,0.3538,0.05511459098459456
428093498,6.2805,9.9931,16.3097,0.1291,0.2528,0.3454,0.07479714303071543
428093499,6.5332,8.9755,17.6859,0.168,0.2355,0.3555,0.057118675464029094
428093500,5.7314,9.1494,15.1124,0.0763,0.1473,0.1969,0.08003728818317192
428093501,6.9316,9.6971,17.26,0.1634,0.2436,0.3701,0.07662132709270902
428093502,6.5201,9.1416,17.0481,0.1529,0.2288,0.3489,0.07020097205976435
428093503,8.1403,10.8326,20.4881,0.1563,0.2316,0.376,0.06283026644890574
428093504,5.9274,11.3267,19.6502,0.0832,0.1531,0.2231,0.06866661880204716
428093505,6.896,11.7997,20.1885,0.1052,0.1867,0.263,0.06866661880204716
428093506,11.1571,14.8763,26.0712,0.2409,0.3595,0.5856,0.06544805286939072
428093507,8.5201,11.3746,20.224,0.172,0.2528,0.391,0.07059533429497317
428093508,4.4414,7.0376,13.3173,0.0975,0.1794,0.2577,0.06981099120988524
428093509,6.1856,8.3923,16.2734,0.1091,0.1645,0.2847,0.08055030487456037
428093511,3.2094,5.5131,10.0223,0.0546,0.0869,0.1168,0.08266986501266944
428093512,6.2633,8.5603,15.578,0.1643,0.2421,0.3638,0.08490398027194407
428093513,6.7146,8.9887,16.6916,0.1464,0.2135,0.3318,0.0752449975094086
428093514,4.2342,7.0543,12.9574,0.1003,0.1459,0.187,0.07348500463068167
428093515,7.1015,9.6224,17.9094,0.2101,0.2971,0.4527,0.06981099120988524
428093516,7.0903,9.9161,18.0898,0.1792,0.2636,0.4075,0.07391723900466864
428093517,6.8374,9.5118,18.2128,0.1577,0.2361,0.3741,0.06510896233025722
428093518,6.6516,9.11,17.3448,0.139,0.211,0.3347,0.07020097205976435
428093519,8.7683,12.0426,22.1066,0.2055,0.2999,0.4578,0.06220821570931003
428093520,7.2581,9.9994,18.0585,0.1365,0.2092,0.3277,0.07903061153879146
428093523,9.1086,12.8613,23.1012,0.2005,0.3051,0.4675,0.05983849013957345
428093524,5.9036,8.5382,16.2709,0.1005,0.1612,0.2562,0.07391723900466864
428093525,5.5552,8.0927,15.3112,0.1342,0.203,0.299,0.0752449975094086
428093527,6.229,8.5361,15.7008,0.1399,0.2017,0.2998,0.077091360650504
428093528,5.9284,8.2614,16.2641,0.1185,0.1844,0.3144,0.07391723900466864
428093529,6.0892,8.1448,15.77,0.1018,0.1531,0.2571,0.08055030487456037
428093530,6.4681,8.4389,15.8036,0.1182,0.1706,0.284,0.08003728818317192
428093531,6.508,8.6523,16.7615,0.1185,0.1697,0.2848,0.07305779571290515
428093532,6.4705,8.9936,16.9514,0.1323,0.2006,0.3227,0.07662132709270902
428093533,6.5538,8.9245,17.2784,0.1249,0.1932,0.3244,0.07020097205976435
428093534,6.5927,8.9664,17.2461,0.1788,0.2602,0.4108,0.07139750161301212
428093535,5.9439,7.8677,15.8626,0.1333,0.1941,0.3094,0.06648685222060789
428093536,6.2247,8.1667,15.884,0.1157,0.1705,0.2749,0.07099415216660818
428093537,5.7838,7.9312,15.7935,0.1027,0.1593,0.2667,0.07180546030797123
428093538,5.0583,6.7167,13.2333,0.0769,0.1114,0.1844,0.08911864874469005
428093539,6.6561,9.0319,17.634,0.1161,0.1661,0.2696,0.06510896233025722
428093540,6.6691,9.0815,18.0078,0.1037,0.151,0.247,0.06012478543760053
428093541,5.5811,7.6291,14.8468,0.068,0.1052,0.1754,0.077091360650504
428093546,7.2914,9.1246,9.8118,0.0215,0.0254,0.0367,0.08003728818317192
428093548,11.8331,14.1626,15.1491,0.0475,0.059,0.0712,0.06346488289866778
428093549,14.1915,17.0058,18.3374,0.1154,0.1392,0.1464,0.06129789587454133
428093550,16.165,19.7588,21.9868,0.1706,0.2033,0.1969,0.05347294092237722
428093551,18.5853,22.7615,22.0315,0.3152,0.3793,0.3162,0.05279893651282317
428093552,19.5242,23.531,22.95,0.345,0.4092,0.3458,0.05347294092237722
428093553,20.7341,24.9764,23.6253,0.3892,0.475,0.4069,0.0539319190680174
428093555,20.0014,23.9911,23.1658,0.3861,0.4664,0.4062,0.0541643755046309
428093557,22.4582,27.2018,25.5553,0.883,1.0679,0.8274,0.05279893651282317
428093559,18.3279,21.8968,21.1499,0.4832,0.5771,0.4777,0.06378702284985524
428093561,18.2255,21.5497,20.2767,0.417,0.5153,0.4026,0.06942531913488556
428093562,20.8314,23.9003,21.976,0.3286,0.3833,0.2814,0.06792432131461863
428093563,20.0035,22.85,21.4878,0.4267,0.4874,0.3451,0.06981099120988524
428093564,20.3206,23.4672,21.3816,0.4882,0.5705,0.3831,0.07059533429497317
428093565,19.0541,22.3363,20.874,0.4527,0.5481,0.3558,0.07059533429497317
428093567,16.5085,19.4705,18.3134,0.426,0.5213,0.3551,0.07569824722699373
428093568,16.7036,19.4196,18.5584,0.4482,0.5445,0.3787,0.07615699026400004
428093569,15.0478,17.4699,17.192,0.3429,0.4144,0.2769,0.07804894248762141
428093570,18.2068,19.4078,19.3359,0.282,0.3018,0.237,0.08003728818317192
428093571,14.7513,17.201,16.2625,0.2515,0.3194,0.1968,0.08433420746488306
428093572,19.0646,21.0889,16.8165,0.5365,0.6133,0.3616,0.08606693785815557
428093573,13.0342,15.1311,14.5551,0.2391,0.3062,0.1903,0.08975514439115811
428093575,13.0793,15.1078,14.5342,0.2464,0.3074,0.195,0.08787235948346774
428093576,13.5844,15.1139,12.7882,0.4497,0.5223,0.3145,0.09816868357674101
428093577,12.6964,14.4547,13.6042,0.2078,0.2425,0.1695,0.10052442674077641
428093578,10.2796,11.3536,10.4578,0.4328,0.4977,0.3115,0.10133499999681532
428093579,17.3985,19.5817,16.8418,0.218,0.253,0.1664,0.09816868357674101
428093582,29.1155,32.5647,26.1622,1.3195,1.4929,0.953,0.05535737701133239
428093591,34.3484,38.4611,30.6557,0.4963,0.5582,0.3525,0.059274001684944774
428093593,21.6433,24.4072,19.1673,0.2336,0.2713,0.1566,0.07756719641593564
428093594,16.3703,18.3794,17.7464,0.4868,0.5509,0.405,0.08106994029334431
428093595,24.0858,27.1887,21.2578,0.2602,0.3058,0.168,0.08433420746488306
428093596,19.8864,22.81,21.0054,0.7128,0.8167,0.5984,0.08055030487456037
428093597,37.1089,41.5257,30.9905,0.4476,0.4944,0.2995,0.07391723900466864
428093598,24.3258,27.4202,24.7248,1.0123,1.1402,0.843,0.07139750161301212
428093599,46.9675,51.676,37.3797,0.4172,0.4798,0.3076,0.0661369411690469
428093600,22.2606,25.6041,22.5657,0.6103,0.7006,0.4759,0.06510896233025722
428093601,42.9611,47.1644,34.8507,0.294,0.343,0.2328,0.06648685222060789
428093604,10.7012,12.5377,12.3614,0.7675,0.9193,0.6482,0.09040079679516942
428093608,8.4941,9.4601,10.1859,0.5424,0.6005,0.4673,0.10299600257653854
428093609,8.3087,9.3283,9.9897,0.6062,0.6745,0.5247,0.10648688664370398
428093610,9.5383,10.786,11.6048,0.5244,0.5886,0.4662,0.09040079679516942
428093613,7.8385,9.0114,9.8808,0.2604,0.2933,0.2301,0.09894156757337469
428093614,7.4971,8.4087,9.1762,0.2425,0.2676,0.194,0.09972671719555438
428093632,49.9,53.6736,45.0575,2.7648,2.9903,2.0059,0.047962542530693694
428093633,44.3445,47.6735,40.5039,2.7873,3.0179,2.0194,0.04870612541107282
428093636,42.1989,45.0562,40.1536,1.0218,1.1059,0.8124,0.05439884443645084
428093637,28.3589,32.3377,25.6637,1.0641,1.2188,0.7513,0.059274001684944774
428093638,25.5558,27.5445,25.1549,0.684,0.7525,0.5418,0.06942531913488556
428093639,10.0788,11.3056,10.486,0.3286,0.3582,0.2186,0.09105580497377844
428093640,18.7351,19.9645,20.0481,0.2314,0.2555,0.1994,0.07569824722699373
428093641,22.5251,24.0618,23.2176,0.2288,0.2502,0.1951,0.07435458803139107
428093642,25.1945,26.8592,25.1312,0.2455,0.2689,0.2084,0.07853670966610296
428093643,15.6298,18.0169,16.5187,0.3435,0.3936,0.2807,0.07662132709270902
428093644,31.5425,33.7247,30.5616,0.2646,0.2989,0.2247,0.07139750161301212
428093645,17.6508,20.1712,17.3788,0.3153,0.3523,0.2747,0.07662132709270902
428093650,8.8873,9.787,11.9979,0.1963,0.2245,0.1834,0.07391723900466864
428093651,11.7476,13.2822,15.3286,0.297,0.3514,0.2983,0.07391723900466864
428093653,10.0834,11.3865,13.7861,0.276,0.3227,0.2825,0.07569824722699373
428093655,9.8461,11.4617,12.8768,0.2611,0.3038,0.2508,0.08212958633865283
428093656,10.6075,11.4044,12.1043,0.3288,0.3614,0.2638,0.08911864874469005
428093657,12.063,13.7547,14.5546,0.4328,0.5109,0.4491,0.08911864874469005
428093658,12.8112,13.7486,13.9598,0.3043,0.3318,0.2471,0.09307904275505513
428093659,7.7566,9.0801,11.177,0.1094,0.1322,0.1215,0.09307904275505513
428093662,8.9597,10.3811,14.1176,0.1432,0.1719,0.1947,0.07903061153879146
428093666,9.7744,10.6626,10.5856,0.5145,0.5794,0.3903,0.09665858053229819
428093667,9.287,10.3127,9.921,0.7371,0.8214,0.5346,0.09816868357674101
428093668,8.6768,9.5548,9.6053,0.5418,0.5918,0.4083,0.10052442674077641
428093670,5.2949,5.9249,7.1503,0.0021,0.0024,0.0137,0.09972671719555438
428093671,5.1068,5.7924,7.0445,0.0127,0.0148,0.0212,0.09816868357674101
428093672,9.5765,11.8326,18.7918,0.1288,0.1716,0.2475,0.06100034753906654
428093674,8.811,11.0115,16.8299,0.2468,0.3175,0.405,0.07756719641593564
428093677,7.7406,10.1836,16.7789,0.2551,0.3769,0.5091,0.09816868357674101
428093679,10.9719,14.3176,20.5268,0.4814,0.6526,0.7541,0.08490398027194407
428093680,12.4499,15.6916,21.0945,0.5497,0.7341,0.8673,0.07853670966610296
428093682,13.6865,17.0571,22.6607,0.4071,0.5556,0.6519,0.07020097205976435
428093683,15.0971,18.6057,23.9659,0.3816,0.5049,0.5545,0.06251769380643689
428093684,6.5728,7.3465,8.1214,0.097,0.1024,0.0907,0.10648688664370398
428093686,7.529,8.4501,9.2166,0.0984,0.1033,0.0935,0.09665858053229819
428093691,5.5874,6.2326,7.3043,0.0067,0.0066,0.017,0.1021587506273488
428093702,11.9395,15.7172,18.3205,0.2726,0.4055,0.4187,0.07953076456813789
428093704,13.7103,17.7534,19.7196,0.428,0.6149,0.6157,0.08003728818317192
428093706,14.1181,17.9699,19.3687,0.3884,0.517,0.4609,0.07853670966610296
428093708,14.8367,18.5244,19.6108,0.4146,0.555,0.5086,0.07953076456813789
428093710,14.6395,18.269,19.524,0.3656,0.4894,0.4498,0.07953076456813789
428093712,14.6278,18.1198,19.2952,0.4465,0.591,0.5386,0.08055030487456037
428093714,13.8856,17.5099,18.9036,0.3519,0.4763,0.4288,0.08003728818317192
428093725,9.77,10.5792,10.5126,0.1702,0.1764,0.1181,0.09239471398211957
428093728,10.3112,11.092,11.4244,0.2534,0.2726,0.1973,0.08548150399146558
428093731,10.8964,11.579,11.9846,0.1982,0.2134,0.1495,0.08377203058083679
428093734,10.6831,11.3787,12.2577,0.2897,0.307,0.2405,0.08377203058083679
428093736,18.9034,22.2762,20.2259,0.335,0.405,0.3016,0.08548150399146558
428093737,10.3687,11.0073,11.9767,0.2696,0.2838,0.2269,0.08606693785815557
428093739,12.9279,15.2415,13.9275,0.1889,0.2345,0.1652,0.11022268844923072
428093740,11.9216,12.7232,12.7173,0.454,0.4752,0.3637,0.09592081711552267
428093743,19.2727,20.9094,19.7626,0.5808,0.6321,0.447,0.06942531913488556
428093758,31.3747,35.3858,32.939,0.6034,0.7006,0.4941,0.050875153686925724
428093759,10.6158,12.0088,15.5449,0.13,0.1617,0.1899,0.11423011752805243
428093760,11.3522,13.1348,16.8113,0.1529,0.1937,0.228,0.11022268844923072
428093761,12.1076,14.0347,17.9547,0.1852,0.2318,0.2597,0.10052442674077641
428093763,11.8383,13.9178,18.0925,0.1604,0.2142,0.2537,0.10471236017896915
428093765,11.9439,13.9719,17.755,0.1271,0.1765,0.1987,0.1038470904936626
428093766,11.1821,13.238,16.9644,0.1478,0.2031,0.2168,0.1038470904936626
428093768,12.4454,14.0241,17.8453,0.2403,0.273,0.2644,0.0937735836449438
428093770,11.7232,13.4111,17.661,0.184,0.2145,0.2585,0.11119795425652645
428093771,11.4775,13.0824,17.498,0.1626,0.1861,0.2272,0.11119795425652645
428093775,13.4379,15.7939,20.7308,0.2103,0.2547,0.3216,0.10648688664370398
428093776,13.1619,15.4401,20.3113,0.1413,0.1734,0.2273,0.10559216905199818
428093777,14.004,16.6241,21.8847,0.1971,0.2484,0.3009,0.10133499999681532
428093779,13.1033,15.8016,20.3007,0.1677,0.2238,0.2804,0.10559216905199818
428093781,6.8405,7.7992,7.5588,0.1088,0.1211,0.0893,0.09519422993221213
428093782,7.9547,9.2147,8.5829,0.1148,0.1287,0.0931,0.09172037375316221
428093783,11.7842,13.0975,11.3221,0.2832,0.3103,0.2133,0.07903061153879146
428093784,11.8065,13.0507,11.4551,0.2647,0.2879,0.1946,0.07804894248762141
428093785,10.8138,11.8024,10.2899,0.2273,0.248,0.167,0.08849111644335216
428093786,9.8003,10.7853,9.5403,0.2127,0.2327,0.1533,0.08849111644335216
428093787,14.8449,17.2683,19.7735,0.2041,0.2499,0.2417,0.09040079679516942
428093788,7.6721,8.6921,7.8376,0.1424,0.157,0.0977,0.08726219508235135
428093789,11.9388,14.1262,17.2413,0.1528,0.1941,0.1929,0.08321729873508964
428093790,17.8153,20.2265,14.0009,0.2527,0.2952,0.1615,0.08490398027194407
428093791,24.7571,27.9004,28.1334,0.3314,0.393,0.3541,0.07853670966610296
428093792,21.2447,24.1234,16.3349,0.1688,0.1989,0.1067,0.07903061153879146
428093793,23.3888,26.6055,27.7724,0.3112,0.3784,0.3656,0.08377203058083679
428093794,18.5575,21.1184,15.5447,0.3223,0.3664,0.2017,0.07853670966610296
428093795,25.0973,29.6424,33.4718,0.3541,0.4333,0.4684,0.07615699026400004
428093801,10.6938,13.0927,19.8287,0.2097,0.2555,0.332,0.10926437976474195
428093804,15.0684,17.1146,15.088,0.6772,0.7751,0.4978,0.08975514439115811
428093805,18.0513,21.9426,30.5565,0.3423,0.4295,0.5724,0.08606693785815557
428093806,17.966,20.2748,17.7066,0.5766,0.6686,0.4305,0.08377203058083679
428093807,17.9922,22.1869,31.4216,0.27,0.3433,0.4804,0.08433420746488306
428093808,19.3322,21.6382,18.8463,0.529,0.6082,0.3833,0.08266986501266944
428093809,17.4152,22.2998,31.9878,0.3855,0.5256,0.717,0.08106994029334431
428093810,25.1582,28.1451,22.0925,0.9801,1.1176,0.6809,0.08212958633865283
428093811,18.2548,23.3271,34.0424,0.3834,0.5135,0.7331,0.08003728818317192
428093812,27.0466,30.13,23.1372,0.8283,0.9373,0.5695,0.08212958633865283
428093813,16.9086,22.2,32.667,0.3454,0.5051,0.7119,0.08266986501266944
428093814,15.8469,21.0826,31.3207,0.2651,0.3889,0.5478,0.08321729873508964
428093815,13.902,18.4942,27.2448,0.1971,0.2724,0.3766,0.08911864874469005
428093816,10.6902,14.3505,21.8337,0.2692,0.3678,0.5215,0.09665858053229819
428093817,10.4975,13.8165,20.3189,0.2923,0.3814,0.5155,0.09740778003073822
428093818,9.6729,12.629,17.4989,0.2215,0.28,0.3162,0.09894156757337469
428093819,4.6761,5.7858,6.352,0.0,0.0,0.0152,0.0815963233535219
428093820,16.9937,19.3369,18.3338,0.5622,0.6422,0.4324,0.077091360650504
428093821,5.1907,6.9228,7.2575,0.0046,0.0061,0.0195,0.07305779571290515
428093822,14.7353,17.0897,20.3662,0.2608,0.3153,0.3146,0.07020097205976435
428093824,10.4772,12.0775,15.0726,0.2649,0.3129,0.2929,0.09105580497377844
428093825,5.0599,5.871,6.4693,0.0602,0.0726,0.0454,0.08787235948346774
428093826,9.0204,11.708,17.9831,0.22,0.3101,0.4467,0.10299600257653854
428093827,11.702,13.8428,9.6839,0.2106,0.2588,0.1056,0.08787235948346774
428093829,10.8419,12.8405,8.923,0.2885,0.349,0.1495,0.08975514439115811
428093830,8.6996,12.6733,23.948,0.2864,0.4792,0.8508,0.09447856694680049
428093831,11.0194,12.8813,9.1956,0.258,0.3087,0.1363,0.09040079679516942
428093832,9.505,15.6747,29.2261,0.2964,0.6375,1.1888,0.08106994029334431
428093833,9.0625,17.7672,36.321,0.1956,0.467,0.9982,0.07263552511680024
428093834,8.7763,17.1646,35.839,0.2712,0.627,1.3191,0.07348500463068167
428093835,6.5207,16.815,40.332,0.1642,0.6025,1.5053,0.06942531913488556
428093837,5.5053,16.5932,41.5646,0.0854,0.3946,1.0851,0.06981099120988524
428093838,4.0899,14.7943,38.7669,0.0674,0.3776,1.0116,0.06190178642991358
428093839,3.0086,11.013,28.8018,0.0593,0.3229,0.8532,0.08321729873508964
428093840,1.5518,6.7439,18.4398,0.0284,0.202,0.5035,0.10471236017896915
428093841,1.4927,5.9187,16.8149,0.0196,0.1638,0.4264,0.09665858053229819
428093842,1.4804,6.445,18.3598,0.0163,0.1447,0.3744,0.09040079679516942
428093843,1.8638,7.0977,20.6099,0.0325,0.2567,0.6819,0.08212958633865283
428093844,1.6981,7.9548,22.322,0.0183,0.2333,0.5967,0.08266986501266944
428093845,1.5032,6.8416,19.2545,0.0288,0.2244,0.5709,0.09239471398211957
428093846,1.0968,6.6233,20.3265,0.0258,0.2759,0.7213,0.07615699026400004
428093848,14.6696,16.2162,13.9616,0.198,0.2269,0.1294,0.08787235948346774
428093849,1.6493,7.7197,22.3391,0.0557,0.34,0.8416,0.07391723900466864
428093850,25.5332,28.445,22.7306,0.2978,0.3375,0.195,0.06904388481989716
428093851,2.5929,9.8946,27.8779,0.0413,0.2392,0.6124,0.06190178642991358
428093852,24.8839,27.3626,21.9709,0.2973,0.339,0.1879,0.06792432131461863
428093853,2.7951,12.11,33.8893,0.0461,0.3222,0.8444,0.06904388481989716
428093854,26.1265,28.5686,22.2474,0.3101,0.351,0.1906,0.077091360650504
428093855,1.8984,10.1055,29.7223,0.0322,0.2549,0.7043,0.08055030487456037
428093863,0.8731,5.1527,16.5619,0.0125,0.1995,0.5537,0.11119795425652645
428093864,12.7476,13.8836,12.0099,0.215,0.2409,0.1447,0.10739689511380088
428093865,0.8701,5.6965,17.3131,0.0214,0.0872,0.2003,0.09816868357674101
428093867,0.7926,5.3706,16.4496,0.0204,0.1038,0.2416,0.1038470904936626
428093868,0.6068,5.1765,16.6971,0.0097,0.0713,0.1796,0.10299600257653854
428093870,0.6898,5.2652,17.0071,0.0097,0.041,0.1131,0.09972671719555438
428093872,17.4158,19.0093,18.4176,0.697,0.7597,0.5891,0.09040079679516942
428093875,15.3971,16.6717,17.3585,0.8217,0.8914,0.7315,0.0815963233535219
428093876,16.3762,17.8217,18.4003,0.839,0.9147,0.745,0.07853670966610296
428093884,16.4282,17.9981,19.8432,0.2575,0.2852,0.2738,0.06069397571814191
428093885,0.2051,3.4692,16.908,0.0004,0.0013,0.0207,0.07180546030797123
428093886,0.2002,3.2934,15.0995,0.0003,0.0072,0.0318,0.09105580497377844
428093887,0.2151,4.0841,17.0236,0.0002,0.0079,0.0334,0.09740778003073822
428093888,0.1753,3.9621,16.661,0.0,0.0,0.0136,0.09105580497377844
428093890,0.6041,3.2981,13.975,0.0003,0.0182,0.0714,0.06411244968272661
428093892,15.823,17.6103,19.196,0.5634,0.6399,0.5534,0.07139750161301212
428093893,13.1436,15.081,16.782,0.4264,0.4827,0.4298,0.09592081711552267
428093902,13.6833,15.4383,13.0656,0.3814,0.4321,0.2308,0.056098740702361524
428093903,10.7606,12.209,9.4575,0.1009,0.117,0.0656,0.08849111644335216
428093904,10.6541,12.1607,9.3896,0.1273,0.1456,0.0793,0.08726219508235135
428093905,7.5467,8.6011,7.4031,0.0973,0.1102,0.0641,0.09519422993221213
428093919,18.2557,19.9954,18.3363,0.1208,0.1503,0.1024,0.08911864874469005
428093921,18.1559,19.7019,18.2812,0.0965,0.1169,0.0818,0.08849111644335216
428093925,16.957,18.3083,17.2787,0.1027,0.1193,0.0898,0.09740778003073822
428093929,20.3817,22.4528,21.2917,0.0765,0.0855,0.0847,0.0937735836449438
428093931,16.0008,17.5123,18.0924,0.0761,0.0841,0.0827,0.09816868357674101
428093932,12.5243,14.0282,13.0478,0.1634,0.1967,0.1356,0.09665858053229819
428093941,11.6951,13.0178,13.5679,0.4418,0.5055,0.3159,0.06346488289866778
428093949,12.4374,13.539,11.7252,0.0538,0.0884,0.0372,0.11423011752805243
428093950,9.7672,10.4737,10.5157,0.2462,0.2686,0.2075,0.11119795425652645
428093952,13.729,15.1312,13.1444,0.0797,0.1192,0.0551,0.10133499999681532
428093953,10.2081,11.0325,10.9459,0.4156,0.457,0.325,0.09894156757337469
428093954,10.1502,12.1324,10.2073,0.256,0.3227,0.1683,0.09740778003073822
428093955,13.115,14.5123,12.9551,0.0921,0.1114,0.0417,0.09894156757337469
428093957,12.8229,14.214,12.7168,0.0847,0.102,0.0332,0.09894156757337469
428093958,12.5687,14.0359,12.206,0.0998,0.117,0.0403,0.1038470904936626
428093959,11.7892,13.1428,11.5921,0.0873,0.1038,0.0308,0.10559216905199818
428093960,11.7046,13.1171,11.67,0.0942,0.1067,0.0381,0.1021587506273488
428093961,11.4002,12.9263,11.2915,0.1172,0.1325,0.0772,0.09972671719555438
428093962,10.7003,12.186,10.5013,0.1124,0.1252,0.074,0.11219063124580061
428093963,11.2409,12.599,10.989,0.1328,0.1553,0.0958,0.10559216905199818
428093964,10.7854,12.2203,10.7836,0.1241,0.1473,0.0917,0.1021587506273488
428093965,9.9935,11.5186,9.7501,0.1475,0.1789,0.0981,0.10133499999681532
428093966,9.9166,11.4217,9.6232,0.1804,0.2189,0.115,0.10133499999681532
428093967,8.8105,10.4625,8.1407,0.5863,0.7108,0.3431,0.10133499999681532
428093968,12.9418,14.9883,11.4277,0.7658,0.8883,0.4542,0.08003728818317192
428093969,12.1288,13.9812,10.3319,0.4334,0.5114,0.2395,0.09040079679516942
428093970,10.4159,12.0718,9.108,0.3205,0.3829,0.1775,0.09447856694680049
428093971,10.4408,11.9819,9.2585,0.2349,0.2876,0.1349,0.0937735836449438
428093972,9.8212,10.1172,10.9622,0.417,0.4229,0.3291,0.09307904275505513
428093980,15.4885,16.7099,14.9516,0.2285,0.2603,0.1402,0.07305779571290515
428093986,24.4956,26.6866,25.2557,0.1721,0.196,0.1386,0.06866661880204716
428093988,43.6081,48.4446,35.9577,0.6799,0.7668,0.4796,0.05279893651282317
428093989,30.7892,33.1938,31.5409,0.3204,0.3555,0.2704,0.056098740702361524
428093991,35.4609,39.3972,28.9598,0.6176,0.697,0.425,0.06829345312829196
428093992,37.6109,40.9711,31.7599,0.4911,0.5679,0.376,0.05872006370526449
428093996,33.9513,36.8852,29.4334,0.5041,0.5884,0.3912,0.06346488289866778
428093997,32.4008,34.6632,32.4904,0.4286,0.4689,0.3659,0.06314598028335774
428093999,36.6106,40.216,30.4977,0.7868,0.8796,0.5548,0.06544805286939072
428094000,28.7257,31.2349,25.2059,0.6908,0.7765,0.5223,0.06684048540909966
428094001,27.3545,29.4865,26.8137,0.7559,0.8288,0.6067,0.06866661880204716
428094002,26.0345,29.2336,22.3019,2.1323,2.3479,1.4415,0.07139750161301212
428094003,23.4095,25.1276,21.4276,1.0043,1.0894,0.7187,0.07020097205976435
428094004,37.666,40.1192,33.898,0.3136,0.3697,0.2825,0.07020097205976435
428094005,24.0826,25.9984,24.2757,0.5949,0.6479,0.4823,0.07139750161301212
428094006,25.6667,28.6519,22.2553,1.6482,1.8105,1.1337,0.07059533429497317
428094007,23.2225,24.7077,21.3816,0.9476,1.0124,0.7094,0.06866661880204716
428094012,38.2922,41.1721,34.0142,0.269,0.334,0.2271,0.059274001684944774
428094015,90.6187,98.1193,71.8887,0.5848,0.7595,0.471,0.04671448198421
428094020,58.6142,62.2296,48.2879,0.3027,0.3424,0.2797,0.058176383157876974
428094021,31.8411,35.408,27.3205,1.0528,1.1757,0.6932,0.05686023067241032
428094024,73.5507,77.9772,59.508,0.3415,0.3827,0.3302,0.05129044711249124
428094028,39.4512,42.7265,34.9064,1.7995,1.9796,1.3479,0.05511459098459456
