detection_id,B,G,R,nB,nG,nR,Compactness
430013751,4.2418,3.362,5.5484,0.0149,0.0139,0.0229,0.09816868357674101
430013752,4.6946,3.7671,5.9501,0.0297,0.0265,0.0274,0.0937735836449438
430013753,6.1025,4.7692,7.4014,0.0391,0.0348,0.0389,0.08548150399146558
430013754,7.0622,5.6983,8.2489,0.0525,0.0483,0.0423,0.07853670966610296
430013755,7.9338,6.2908,9.3051,0.0449,0.0405,0.0505,0.0752449975094086
430013756,8.0675,6.6228,9.6792,0.0463,0.0398,0.0404,0.07139750161301212
430013757,10.5543,8.6037,11.7062,0.0407,0.036,0.0421,0.06684048540909966
430013758,12.1874,10.1602,13.2077,0.0678,0.0623,0.0594,0.06346488289866778
430013759,15.0155,12.4811,15.8647,0.0954,0.0839,0.0763,0.05584942297118333
430013760,15.0955,12.6961,15.209,0.0717,0.062,0.0646,0.05560231145909046
430013761,16.4541,14.1999,15.9543,0.1658,0.1545,0.1313,0.0539319190680174
430013762,16.8813,14.8455,16.0867,0.1133,0.1053,0.0836,0.05257802831020273
430013763,16.7739,14.4663,15.4952,0.1751,0.1623,0.1211,0.05235896091135454
430013764,15.4918,13.1615,14.7437,0.1072,0.0979,0.0792,0.05584942297118333
430013765,15.1586,12.6692,14.6327,0.096,0.0855,0.0756,0.05439884443645084
430013766,15.1982,12.8663,14.5342,0.0973,0.0862,0.0731,0.05235896091135454
430013767,14.1111,11.9953,13.4936,0.0897,0.0804,0.0738,0.057118675464029094
430013768,12.5003,10.7964,13.0438,0.0868,0.0771,0.0629,0.05660411406725943
430013769,12.4473,10.849,12.8016,0.0852,0.0763,0.0631,0.05737948033237819
430013770,11.5895,10.0985,12.1767,0.0962,0.0882,0.0738,0.0595549083537657
430013771,11.7315,10.1999,12.4205,0.1109,0.0998,0.0918,0.059274001684944774
430013772,10.5508,9.322,11.6929,0.075,0.0685,0.0618,0.06283026644890574
430013782,6.4365,8.2469,15.8096,0.0293,0.0542,0.1143,0.08377203058083679
430013785,5.7666,7.7612,15.6873,0.1354,0.195,0.3168,0.08377203058083679
430013786,7.2541,9.6816,19.7754,0.0947,0.1511,0.2662,0.06981099120988524
430013787,3.8319,5.0607,12.4316,0.0797,0.1054,0.1736,0.06904388481989716
430013788,4.9377,6.0004,13.7379,0.0821,0.096,0.1519,0.08055030487456037
430013789,8.3048,10.795,20.448,0.1655,0.2411,0.414,0.07391723900466864
430013822,5.7466,7.7699,16.0426,0.0927,0.1271,0.2134,0.07903061153879146
430013823,4.4443,5.5248,13.3924,0.0532,0.0625,0.1087,0.08490398027194407
430013824,3.2296,4.1888,11.4776,0.0622,0.0723,0.1185,0.08666044549832956
430013826,3.7641,4.7031,11.6255,0.0655,0.0757,0.1218,0.08377203058083679
430013827,4.7232,5.9891,14.0576,0.099,0.1176,0.1743,0.07263552511680024
430013829,6.7135,8.1818,16.8397,0.0951,0.1131,0.1785,0.08003728818317192
430013830,5.4175,5.1142,10.8497,0.0555,0.0533,0.0788,0.06510896233025722
430013831,7.0675,8.5193,17.8217,0.0993,0.1148,0.1774,0.06579069379816853
430013832,6.3607,5.8078,10.592,0.0082,0.0074,0.0213,0.07263552511680024
430013833,11.4611,11.6304,17.7378,0.1116,0.1189,0.1745,0.07305779571290515
430013834,9.0951,10.6524,20.1028,0.1022,0.1183,0.1863,0.07221810771057427
430013835,6.5216,5.7679,10.2771,0.0096,0.0082,0.0217,0.07180546030797123
430013836,11.1727,11.2344,16.1556,0.0989,0.1079,0.143,0.07435458803139107
430013837,7.6729,6.7465,11.5105,0.1724,0.1675,0.2116,0.0752449975094086
430013838,11.1913,10.4304,9.3972,0.1315,0.1246,0.0811,0.07479714303071543
430013839,9.0241,10.3708,19.1568,0.0993,0.1098,0.1701,0.0752449975094086
430013840,7.8624,7.1448,11.4205,0.1291,0.1231,0.1494,0.07569824722699373
430013841,11.3632,10.8737,9.1282,0.1279,0.1257,0.0517,0.06684048540909966
430013842,8.9274,10.3101,19.0801,0.0769,0.0864,0.1391,0.07569824722699373
430013843,7.5418,6.5442,11.013,0.0839,0.0753,0.0909,0.06444121395927624
430013844,7.5634,7.2371,8.4776,0.0679,0.0615,0.0387,0.06411244968272661
430013845,7.2777,8.5408,17.1493,0.0915,0.1025,0.1568,0.06981099120988524
430013846,7.6453,6.6809,10.6442,0.113,0.1099,0.1264,0.07348500463068167
430013847,13.3575,12.5974,11.8346,0.2876,0.2661,0.1967,0.07263552511680024
430013848,8.4196,9.6928,18.1743,0.11,0.1223,0.1817,0.07804894248762141
430013849,7.7731,6.9569,10.4916,0.0628,0.0591,0.0696,0.07804894248762141
430013850,14.1276,13.0358,13.5807,0.3978,0.3645,0.248,0.0661369411690469
430013851,7.266,8.4832,17.0451,0.1022,0.1135,0.1703,0.06866661880204716
430013852,7.0947,6.5027,10.4714,0.1114,0.1044,0.127,0.06942531913488556
430013854,6.2183,7.2581,15.4133,0.0802,0.0905,0.1376,0.06981099120988524
430013855,7.4986,6.947,10.1142,0.194,0.1899,0.2202,0.08003728818317192
430013856,7.7602,8.9277,17.0244,0.1121,0.1247,0.187,0.08003728818317192
430013857,7.819,8.6996,17.1546,0.1377,0.1497,0.2298,0.08003728818317192
430013858,7.7643,8.6682,16.9248,0.1622,0.177,0.2639,0.08106994029334431
430013859,6.1609,6.9353,14.6946,0.1311,0.1429,0.214,0.07662132709270902
430013860,1.9401,2.5006,8.9596,0.0044,0.0047,0.0217,0.10052442674077641
430013861,1.9626,2.5362,9.697,0.0038,0.0041,0.0275,0.08911864874469005
430013862,2.8042,3.6123,13.2323,0.0329,0.0352,0.0913,0.06684048540909966
430013863,3.5319,4.3173,14.7843,0.0445,0.0476,0.1059,0.06346488289866778
430013864,3.2521,4.049,14.1813,0.0458,0.0491,0.1048,0.06866661880204716
430013865,3.8874,4.4012,14.2965,0.0245,0.0251,0.0727,0.06942531913488556
430013866,4.8781,5.5301,15.5785,0.0409,0.0422,0.0979,0.06981099120988524
430013867,5.1493,5.6737,15.3398,0.0669,0.0689,0.1294,0.07263552511680024
430013868,4.7462,5.2512,13.9913,0.0465,0.0497,0.1007,0.07569824722699373
430013869,5.0122,5.4679,14.1666,0.0733,0.0778,0.1363,0.08003728818317192
430013870,3.9676,4.4066,11.4294,0.0397,0.0421,0.0806,0.09239471398211957
430013871,1.8868,2.1445,8.541,0.0107,0.0112,0.0324,0.10052442674077641
430013872,2.7101,3.0139,9.9919,0.0185,0.0192,0.0473,0.09592081711552267
430013873,9.1346,13.0877,24.1336,0.0779,0.1346,0.2482,0.07348500463068167
430013874,9.2897,10.0319,18.9803,0.1422,0.1542,0.241,0.07953076456813789
430013875,7.2424,9.2581,18.5262,0.1583,0.2019,0.324,0.07569824722699373
430013876,6.7931,9.7135,18.9757,0.0556,0.0934,0.1766,0.07099415216660818
430013877,5.1082,6.5668,15.0349,0.1049,0.1287,0.2064,0.06904388481989716
430013878,4.4038,6.1112,12.9016,0.0496,0.0717,0.1306,0.08548150399146558
430013879,6.8594,9.9704,19.1151,0.0579,0.0986,0.1802,0.07479714303071543
430013887,5.9017,5.2333,12.0585,0.0,0.0,0.0205,0.0607056738604871
430013902,28.0614,23.2493,21.8079,0.2504,0.2195,0.1637,0.0502646717369248
430013903,28.222,23.0809,21.6112,0.2292,0.2005,0.154,0.05046653131091824
430013971,22.232,19.1266,17.8798,0.147,0.1374,0.0849,0.06159836113714365
430013975,8.6239,7.7553,8.4737,0.1741,0.1639,0.106,0.09239471398211957
430013976,9.1259,8.2104,8.8344,0.1359,0.1249,0.0735,0.09172037375316221
430013977,8.5585,7.7141,8.5737,0.286,0.2505,0.1572,0.09447856694680049
430013980,7.2332,6.4803,7.7615,0.0895,0.0833,0.0585,0.1038470904936626
430013981,6.8956,6.1254,7.5716,0.0616,0.0574,0.0508,0.10299600257653854
430013982,6.444,5.7543,7.2486,0.0549,0.052,0.0503,0.1038470904936626
430014012,17.3264,20.8247,34.053,0.1692,0.2509,0.4147,0.056098740702361524
430014013,11.9849,14.4387,26.8834,0.0859,0.1399,0.2405,0.04636973518878762
430014015,12.495,11.5105,14.2365,0.3483,0.3118,0.3024,0.08975514439115811
430014018,12.4342,11.7361,14.7508,0.0784,0.0708,0.0808,0.0937735836449438
430014035,29.6454,34.9328,48.2458,0.2743,0.3739,0.4945,0.05347294092237722
430014036,23.7005,29.6223,42.9563,0.5252,0.6853,0.8523,0.05983849013957345
430014037,22.2696,27.8538,40.0602,0.4902,0.6241,0.746,0.06220821570931003
430014038,20.5911,25.584,37.129,0.3124,0.3991,0.5286,0.06544805286939072
430014039,18.2569,22.5771,33.1927,0.3159,0.4024,0.5187,0.06684048540909966
430014058,8.8091,10.617,17.3257,0.1372,0.1772,0.2467,0.077091360650504
430014059,12.9794,18.6556,34.0784,0.1906,0.3821,0.6764,0.04889563761385481
430014060,12.8741,19.4744,35.1415,0.2147,0.3897,0.6608,0.049086630312145024
430014061,13.8214,19.2154,33.9565,0.3605,0.562,0.8662,0.05324636892277132
430014062,12.0977,16.1628,26.7124,0.3001,0.4533,0.663,0.06719790044098876
430014063,11.4482,15.2273,26.3021,0.3247,0.4381,0.6465,0.06648685222060789
430014064,10.4489,13.2313,22.9772,0.4046,0.5784,0.854,0.0589957324588329
430014065,11.1871,13.0915,21.2634,0.3474,0.4287,0.5762,0.0607056738604871
430014066,12.3345,14.7832,23.6547,0.3751,0.4804,0.6728,0.05872006370526449
430014067,11.5318,13.2285,20.591,0.3844,0.4915,0.7083,0.06444121395927624
430014068,7.2898,6.4905,8.4856,0.0783,0.0694,0.0663,0.09447856694680049
430014069,8.3291,7.2071,7.1563,0.0722,0.0681,0.0416,0.09307904275505513
430014070,8.4132,7.4189,6.6176,0.0824,0.077,0.0428,0.1038470904936626
430014071,7.8713,6.8792,6.2091,0.0796,0.0715,0.0324,0.1038470904936626
430014072,10.6294,9.2207,7.9478,0.3798,0.3227,0.1862,0.11634512054520679
430014073,11.0132,9.7867,8.4243,0.3963,0.3463,0.1915,0.1132011898318306
430014074,12.7626,11.2484,9.4743,0.3428,0.2952,0.1625,0.10559216905199818
430014075,12.2713,10.9756,9.3342,0.2677,0.2353,0.117,0.10471236017896915
430014076,13.0176,11.6139,9.5974,0.2648,0.2302,0.108,0.10052442674077641
430014077,12.297,10.9973,9.2361,0.2202,0.1926,0.0944,0.1021587506273488
430014078,12.0654,10.6545,9.1714,0.2085,0.1809,0.0933,0.10648688664370398
430014079,12.9303,11.5751,9.8314,0.2569,0.2261,0.111,0.10133499999681532
430014080,13.285,11.805,9.884,0.2981,0.262,0.1234,0.09972671719555438
430014081,12.3974,10.9915,9.5089,0.2488,0.2154,0.112,0.1021587506273488
430014082,12.1532,10.7705,9.3885,0.2075,0.1779,0.099,0.10559216905199818
430014083,11.1159,9.9497,8.7884,0.1706,0.1462,0.077,0.10739689511380088
430014084,10.5342,10.5606,13.8451,0.1637,0.1609,0.1897,0.10648688664370398
430014085,10.6605,10.6547,13.7927,0.208,0.2073,0.2385,0.10559216905199818
430014087,10.2185,10.2631,14.0307,0.1527,0.1427,0.1592,0.09040079679516942
430014089,12.9047,12.8632,16.6013,0.2602,0.2478,0.253,0.08212958633865283
430014090,14.864,16.7529,21.3021,0.4198,0.5179,0.5443,0.07263552511680024
430014091,16.2105,17.9592,23.3159,0.3568,0.431,0.4838,0.07139750161301212
430014092,16.343,19.0607,25.0831,0.3874,0.4776,0.5288,0.06981099120988524
430014093,16.679,19.4882,25.5454,0.2958,0.3959,0.4745,0.06477336728387235
430014094,33.7966,31.0177,20.7512,2.0047,1.8532,0.9721,0.06648685222060789
430014095,16.6598,19.6676,25.2134,0.3403,0.4576,0.525,0.06829345312829196
430014096,34.3744,31.4997,20.95,3.9215,3.6331,1.8945,0.0675591583065621
430014098,30.2093,27.5342,18.1724,2.3637,2.1775,1.1294,0.077091360650504
430014099,10.0601,13.1527,18.0224,0.3698,0.5307,0.657,0.08911864874469005
430014101,7.8411,10.2106,14.8497,0.3221,0.5088,0.691,0.10648688664370398
430014102,14.7536,13.0599,10.1948,1.2674,1.1449,0.5903,0.09172037375316221
430014103,6.0546,8.223,13.9837,0.1483,0.2379,0.3468,0.08975514439115811
430014104,11.9002,10.2949,8.6626,0.4579,0.385,0.1857,0.09816868357674101
430014105,4.8126,7.652,13.5736,0.1083,0.2127,0.3075,0.09592081711552267
430014106,4.6117,7.4259,12.8969,0.0962,0.1972,0.2951,0.10299600257653854
430014108,11.1602,9.4245,8.005,0.5125,0.422,0.2079,0.1021587506273488
430014109,11.191,9.3523,8.088,0.5432,0.4434,0.2294,0.10559216905199818
430014112,14.3612,12.1161,10.6392,0.7154,0.5887,0.333,0.09105580497377844
430014114,13.7156,11.376,11.1933,0.3995,0.3082,0.2222,0.09447856694680049
430014115,14.0915,12.0229,12.1383,0.3661,0.2833,0.2133,0.09519422993221213
430014116,14.3043,12.1801,12.1745,0.3469,0.2706,0.203,0.09894156757337469
430014117,13.8795,11.851,12.2356,0.2726,0.2172,0.1644,0.10133499999681532
430014118,14.1027,12.2121,12.5723,0.2456,0.1989,0.1469,0.09972671719555438
430014119,15.062,13.498,13.6425,0.3282,0.2789,0.2064,0.09740778003073822
430014123,14.1652,13.2814,14.3318,0.1871,0.1738,0.149,0.09592081711552267
430014125,12.6596,11.9057,13.7342,0.108,0.1022,0.0953,0.10471236017896915
430014126,12.6929,12.0867,14.3197,0.1099,0.1048,0.1033,0.10052442674077641
430014128,12.9357,12.2437,15.0645,0.1028,0.0982,0.0967,0.09972671719555438
430014129,13.7061,13.137,15.8939,0.1428,0.1365,0.1394,0.0937735836449438
430014130,12.0401,11.6379,14.2766,0.1166,0.113,0.1144,0.1021587506273488
430014131,11.76,11.4877,13.9157,0.1409,0.1393,0.1409,0.1021587506273488
430014132,11.1107,10.8835,13.0766,0.1469,0.1478,0.1413,0.10471236017896915
430014133,10.318,9.9735,12.7668,0.0977,0.0953,0.1054,0.10832258979485408
430014134,10.1467,9.7911,12.5382,0.0942,0.0921,0.1013,0.10926437976474195
430014135,9.426,9.1916,11.2052,0.1967,0.1942,0.1866,0.11219063124580061
430014136,8.9174,8.5277,10.699,0.173,0.1637,0.1642,0.11022268844923072
430014138,10.0595,8.2736,9.1852,0.4235,0.3512,0.2637,0.11022268844923072
430014139,10.3725,8.6017,9.5177,0.4677,0.3874,0.2937,0.10926437976474195
430014141,9.8187,8.0984,9.3094,0.4899,0.4074,0.3186,0.10832258979485408
430014148,10.2978,8.4047,9.404,0.4439,0.3578,0.2851,0.10739689511380088
430014164,6.0464,7.2441,15.4673,0.0315,0.0323,0.0626,0.0661369411690469
430014165,5.6749,7.0228,14.3334,0.2323,0.2945,0.4447,0.08377203058083679
430014166,5.9228,7.2613,14.4079,0.197,0.248,0.3761,0.09040079679516942
430014167,4.9829,5.9881,12.7749,0.3063,0.3587,0.5286,0.07953076456813789
430014168,4.9737,5.9816,12.7384,0.3041,0.3626,0.5317,0.08003728818317192
430014172,24.4926,21.7339,19.7975,0.743,0.6447,0.444,0.0675591583065621
430014173,25.1107,22.4696,20.6611,0.8533,0.7455,0.5297,0.0661369411690469
430014174,3.6528,2.9396,5.3355,0.0,0.0,0.0116,0.10648688664370398
430014176,4.8505,3.9097,6.5761,0.0,0.0,0.0125,0.09894156757337469
430014177,5.2967,4.34,7.0865,0.0,0.0,0.0134,0.09239471398211957
430014178,4.9073,4.0556,7.0575,0.0,0.0,0.0138,0.08975514439115811
430014179,4.5893,3.7626,6.5179,0.0,0.0,0.0126,0.09816868357674101
430014180,6.4923,5.1394,6.2086,0.002,0.0017,0.014,0.09816868357674101
430014181,6.7433,5.5936,6.1315,0.0,0.0,0.0123,0.10052442674077641
430014182,6.2281,5.0946,6.6092,0.0049,0.0041,0.0156,0.10052442674077641
430014183,6.4868,5.3223,6.6514,0.0027,0.0022,0.0136,0.10133499999681532
430014184,6.5057,5.384,6.8898,0.0,0.0,0.012,0.10299600257653854
430014185,8.6959,7.5133,8.8691,0.0633,0.053,0.0501,0.08849111644335216
430014187,8.9506,7.7203,8.9146,0.0802,0.0692,0.0618,0.08849111644335216
430014188,12.2787,10.1992,11.3938,0.1709,0.1412,0.1178,0.0815963233535219
430014192,15.7705,13.5628,14.19,0.3243,0.2743,0.2056,0.07853670966610296
430014194,11.7877,10.1491,11.1895,0.1914,0.1644,0.1238,0.08003728818317192
430014195,10.5992,9.3102,10.1014,0.263,0.2231,0.1696,0.09307904275505513
430014197,10.8402,9.3313,9.4723,0.4113,0.3553,0.2394,0.10052442674077641
430014199,12.8578,10.8311,10.3852,0.3073,0.2663,0.1686,0.0937735836449438
430014200,14.1336,11.7781,11.4403,0.2567,0.2147,0.1482,0.09239471398211957
430014202,15.6691,12.8602,13.3192,0.2947,0.2401,0.179,0.07804894248762141
430014203,16.303,13.2946,13.8942,0.3062,0.2494,0.1778,0.0752449975094086
430014204,15.5212,12.5966,13.4126,0.276,0.2221,0.1586,0.07804894248762141
430014205,14.4173,11.8221,12.9491,0.223,0.1804,0.1345,0.07853670966610296
430014206,14.8872,12.2048,13.2953,0.1993,0.1626,0.1259,0.0752449975094086
430014207,14.54,11.9026,13.2001,0.1475,0.1208,0.094,0.07479714303071543
430014208,15.6842,12.8796,14.0053,0.1336,0.1121,0.0842,0.07139750161301212
430014209,12.9806,10.6136,11.8845,0.2091,0.1731,0.1274,0.07615699026400004
430014211,12.9465,11.3734,12.5582,0.1661,0.1443,0.1003,0.07615699026400004
430014212,14.427,12.7892,13.8709,0.1524,0.1348,0.0938,0.07305779571290515
430014213,14.8211,12.9322,15.4206,0.1572,0.1351,0.0985,0.06829345312829196
430014214,15.5054,13.063,15.9724,0.1308,0.1102,0.0882,0.06684048540909966
430014215,14.5103,12.3658,15.2554,0.1175,0.0958,0.0802,0.06981099120988524
430014216,15.1725,12.4827,15.7241,0.152,0.1232,0.1072,0.06942531913488556
